name,popularity,date_added,release_year,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_emotion
Doorie,46,2023-05-31 17:05:24+00:00,2021,['Twin Strings'],0.418,0.293,8.0,-11.182,0.0,0.0285,0.812,0.000131,0.106,0.133,137.747,audio_features,1Dc4zs4hnrqbz4pV44uT8g,spotify:track:1Dc4zs4hnrqbz4pV44uT8g,https://api.spotify.com/v1/tracks/1Dc4zs4hnrqbz4pV44uT8g,https://api.spotify.com/v1/audio-analysis/1Dc4zs4hnrqbz4pV44uT8g,233827.0,3.0,sad
"Tera Mera Milna - From ""Jannatein""",23,2023-05-31 17:11:24+00:00,2023,"['Saaj Bhatt', 'Sanjeev Chaturvedi']",0.554,0.623,5.0,-4.936,1.0,0.0294,0.69,0.0,0.2,0.608,135.897,audio_features,1BgUi5DRGzl8PGwwU011h8,spotify:track:1BgUi5DRGzl8PGwwU011h8,https://api.spotify.com/v1/tracks/1BgUi5DRGzl8PGwwU011h8,https://api.spotify.com/v1/audio-analysis/1BgUi5DRGzl8PGwwU011h8,201618.0,4.0,sad
Aise Kyun - Ghazal Version,65,2023-05-31 17:15:11+00:00,2022,"['Rekha Bhardwaj', 'Anurag Saikia', 'Raj Shekhar', 'Mismatched - Cast']",0.395,0.378,3.0,-9.743,1.0,0.0443,0.88,0.0879,0.105,0.286,152.204,audio_features,02wf1NAQdIpe5S1NJYPwvB,spotify:track:02wf1NAQdIpe5S1NJYPwvB,https://api.spotify.com/v1/tracks/02wf1NAQdIpe5S1NJYPwvB,https://api.spotify.com/v1/audio-analysis/02wf1NAQdIpe5S1NJYPwvB,329081.0,4.0,sad
Aziyat 2.0 - Reprise Version,64,2023-06-11 15:10:20+00:00,2021,['Pratsofficial'],0.445,0.28,10.0,-12.668,1.0,0.0275,0.819,1.29e-05,0.111,0.299,104.743,audio_features,3fwyItGexa88kR8j76dIqv,spotify:track:3fwyItGexa88kR8j76dIqv,https://api.spotify.com/v1/tracks/3fwyItGexa88kR8j76dIqv,https://api.spotify.com/v1/audio-analysis/3fwyItGexa88kR8j76dIqv,194286.0,4.0,sad
Jannatein Kahan,60,2023-07-18 19:02:34+00:00,2012,"['Pritam', 'KK']",0.545,0.77,0.0,-6.102,1.0,0.0655,0.308,2.8e-05,0.167,0.696,159.975,audio_features,62wnQra2VgCUyHO3BUIAcr,spotify:track:62wnQra2VgCUyHO3BUIAcr,https://api.spotify.com/v1/tracks/62wnQra2VgCUyHO3BUIAcr,https://api.spotify.com/v1/audio-analysis/62wnQra2VgCUyHO3BUIAcr,228093.0,4.0,sad
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",56,2023-08-13 16:35:35+00:00,2023,"['Pritam', 'Arijit Singh', 'Shreya Ghoshal', 'Shadab Faridi', 'Altamash Faridi', 'Amitabh Bhattacharya']",0.468,0.658,2.0,-7.6,1.0,0.0668,0.81,0.0333,0.12,0.534,87.607,audio_features,1AmwIgy0WYLJJ5e24aCFTm,spotify:track:1AmwIgy0WYLJJ5e24aCFTm,https://api.spotify.com/v1/tracks/1AmwIgy0WYLJJ5e24aCFTm,https://api.spotify.com/v1/audio-analysis/1AmwIgy0WYLJJ5e24aCFTm,246989.0,4.0,sad
Din Shagna Da,57,2023-08-16 20:43:33+00:00,2017,['Jasleen Royal'],0.583,0.452,11.0,-10.459,0.0,0.026,0.802,0.00632,0.143,0.327,79.999,audio_features,20rwogC6aE369YsxFb5aRp,spotify:track:20rwogC6aE369YsxFb5aRp,https://api.spotify.com/v1/tracks/20rwogC6aE369YsxFb5aRp,https://api.spotify.com/v1/audio-analysis/20rwogC6aE369YsxFb5aRp,215305.0,4.0,sad
Kudmayi,0,2023-08-16 20:43:58+00:00,2023,"['Sachet Tandon', 'Amitabh Bhattacharya']",0.608,0.591,8.0,-7.888,1.0,0.0358,0.363,0.0013,0.0389,0.247,88.041,audio_features,6ku9u2hClRcMA0l7PxWvhr,spotify:track:6ku9u2hClRcMA0l7PxWvhr,https://api.spotify.com/v1/tracks/6ku9u2hClRcMA0l7PxWvhr,https://api.spotify.com/v1/audio-analysis/6ku9u2hClRcMA0l7PxWvhr,267614.0,4.0,sad
Aas Paas Khuda,62,2023-10-16 15:37:19+00:00,2010,['Rahat Fateh Ali Khan'],0.556,0.706,5.0,-5.709,1.0,0.0336,0.335,1.8e-06,0.137,0.726,80.008,audio_features,3kuxr8U3QynLzyW82p5hYR,spotify:track:3kuxr8U3QynLzyW82p5hYR,https://api.spotify.com/v1/tracks/3kuxr8U3QynLzyW82p5hYR,https://api.spotify.com/v1/audio-analysis/3kuxr8U3QynLzyW82p5hYR,319116.0,4.0,sad
Saari Duniya Jalaa Denge,78,2023-12-14 16:57:44+00:00,2023,"['Jaani', 'B Praak']",0.515,0.475,0.0,-9.661,1.0,0.0351,0.782,0.0,0.164,0.674,81.835,audio_features,0YxKKO272sacGBJKjf6FnB,spotify:track:0YxKKO272sacGBJKjf6FnB,https://api.spotify.com/v1/tracks/0YxKKO272sacGBJKjf6FnB,https://api.spotify.com/v1/audio-analysis/0YxKKO272sacGBJKjf6FnB,182348.0,4.0,sad
Ve Kamleya (Sufi Version),47,2023-12-16 16:17:48+00:00,2023,"['Shadab Faridi', 'Altamash Faridi', 'Asees Kaur', 'Amitabh Bhattacharya']",0.419,0.763,2.0,-7.393,1.0,0.217,0.415,1.17e-06,0.0687,0.452,175.448,audio_features,4MAHcEtZOp4SS7hbDQm7CT,spotify:track:4MAHcEtZOp4SS7hbDQm7CT,https://api.spotify.com/v1/tracks/4MAHcEtZOp4SS7hbDQm7CT,https://api.spotify.com/v1/audio-analysis/4MAHcEtZOp4SS7hbDQm7CT,321818.0,4.0,sad
Saware,65,2023-12-19 05:53:01+00:00,2015,"['Pritam', 'Arijit Singh']",0.499,0.683,6.0,-6.373,0.0,0.0334,0.703,0.00161,0.0749,0.295,134.95,audio_features,1juJ3mwsFerctbngtK42G4,spotify:track:1juJ3mwsFerctbngtK42G4,https://api.spotify.com/v1/tracks/1juJ3mwsFerctbngtK42G4,https://api.spotify.com/v1/audio-analysis/1juJ3mwsFerctbngtK42G4,321613.0,4.0,sad
Alvida,54,2024-01-26 01:10:42+00:00,2007,"['Pritam', 'KK']",0.287,0.654,2.0,-5.57,1.0,0.0374,0.593,7.3e-06,0.11,0.241,84.015,audio_features,7EjatvVN2Y2GjpvKSyWJR4,spotify:track:7EjatvVN2Y2GjpvKSyWJR4,https://api.spotify.com/v1/tracks/7EjatvVN2Y2GjpvKSyWJR4,https://api.spotify.com/v1/audio-analysis/7EjatvVN2Y2GjpvKSyWJR4,338587.0,4.0,sad
Kabhi Alvida Naa Kehna,59,2024-01-26 05:33:02+00:00,2006,"['Shankar-Ehsaan-Loy', 'Sonu Nigam', 'Alka Yagnik']",0.365,0.407,5.0,-10.352,1.0,0.0424,0.752,0.00129,0.212,0.464,149.161,audio_features,4uXShFWajd1PTQzlW3P4jj,spotify:track:4uXShFWajd1PTQzlW3P4jj,https://api.spotify.com/v1/tracks/4uXShFWajd1PTQzlW3P4jj,https://api.spotify.com/v1/audio-analysis/4uXShFWajd1PTQzlW3P4jj,483920.0,4.0,sad
Mann Mera,74,2024-01-26 05:33:24+00:00,2012,['Gajendra Verma'],0.535,0.765,1.0,-7.862,0.0,0.0444,0.054,0.0,0.0921,0.373,191.827,audio_features,3yV2c3cYhkAwSsxAq6nRiv,spotify:track:3yV2c3cYhkAwSsxAq6nRiv,https://api.spotify.com/v1/tracks/3yV2c3cYhkAwSsxAq6nRiv,https://api.spotify.com/v1/audio-analysis/3yV2c3cYhkAwSsxAq6nRiv,200120.0,4.0,sad
,0,2021-10-17 02:42:16+00:00,0,[''],0.784,0.859,7.0,-6.019,1.0,0.188,0.0989,0.0,0.0812,0.515,93.704,audio_features,165q0B6Q9edLh75vmbhNPs,spotify:track:165q0B6Q9edLh75vmbhNPs,https://api.spotify.com/v1/tracks/165q0B6Q9edLh75vmbhNPs,https://api.spotify.com/v1/audio-analysis/165q0B6Q9edLh75vmbhNPs,166191.0,3.0,angry
