danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,song_emotion
0.702,0.897,-5.217,0.0329,0.11,4.81E-06,0.107,0.911,120.007,0
0.817,0.922,-6.999,0.0817,0.311,0.00388,0.0721,0.862,121.988,0
0.824,0.757,-5.047,0.0744,0.368,0.000108,0.146,0.97,100.029,0
0.337,0.963,-2.93,0.296,0.284,0,0.281,0.405,62.481,0
0.801,0.922,-6.562,0.114,0.0638,0.000627,0.349,0.788,110.042,0
0.749,0.734,-7.058,0.0594,0.00166,6.48E-06,0.108,0.652,131.975,0
0.794,0.771,-8.418,0.0921,0.224,1.18E-05,0.465,0.624,94.824,0
0.692,0.875,-7.381,0.0571,0.545,5.78E-05,0.326,0.787,84.575,0
0.781,0.766,-8.728,0.0564,0.122,0.000104,0.121,0.798,106.193,0
0.81,0.846,-4.451,0.0435,0.0454,9.14E-05,0.374,0.885,123.966,0
0.825,0.559,-7.907,0.0722,0.0212,0.000689,0.205,0.207,105.957,0
0.325,0.421,-8.636,0.0561,0.659,4.46E-06,0.0825,0.204,170.363,0
0.678,0.622,-7.988,0.0695,0.138,2.32E-06,0.122,0.535,100.005,0
0.734,0.355,-10.605,0.083,0.296,0.000135,0.124,0.584,193.922,0
0.82,0.907,-4.517,0.0607,0.655,4.85E-05,0.0816,0.834,126.062,0
0.778,0.812,-8.561,0.046,0.0573,8.28E-06,0.243,0.791,99.962,0
0.804,0.887,-5.169,0.0418,0.0355,1.01E-06,0.212,0.915,126.011,0
0.829,0.76,-5.552,0.106,0.0116,1.04E-05,0.336,0.773,107.01,0
0.63,0.729,-4.93,0.0287,0.123,8.00E-06,0.0786,0.44,127.919,0
0.689,0.742,-7.571,0.0413,0.0339,0.0046,0.0928,0.876,155.986,0
0.906,0.699,-5.526,0.0462,0.13,0.0165,0.178,0.938,129.946,0
0.703,0.678,-8.644,0.0417,0.0478,7.02E-05,0.496,0.694,120.051,0
0.704,0.952,-2.331,0.0333,0.0408,0,0.335,0.902,106.99,0
0.806,0.932,-2.228,0.0684,0.24,0,0.216,0.792,106.021,0
0.801,0.856,-4.233,0.065,0.0984,6.62E-05,0.228,0.919,106.026,0
0.761,0.945,-6.089,0.0414,0.169,0.000148,0.0692,0.965,135.011,0
0.796,0.85,-3.641,0.203,0.0992,0,0.129,0.559,136.03,0
0.732,0.944,-4.115,0.09,0.209,0,0.401,0.957,120.02,0
0.806,0.815,-5.373,0.0599,0.0081,2.35E-05,0.586,0.678,129.999,0
0.721,0.944,-4.995,0.142,0.0393,5.86E-05,0.0747,0.728,109.014,0
0.757,0.896,-5.983,0.0474,0.0773,0.00364,0.192,0.79,104.013,0
0.794,0.865,-5.333,0.215,0.149,1.38E-05,0.0468,0.779,126.658,0
0.746,0.782,-6.192,0.0397,0.277,4.70E-06,0.108,0.665,98.976,0
0.69,0.868,-6.472,0.0889,0.217,0,0.325,0.69,96.99,0
0.752,0.822,-8.471,0.102,0.131,0,0.27,0.917,119.966,0
0.836,0.839,-2.974,0.106,0.275,7.25E-06,0.181,0.507,103.992,0
0.772,0.649,-6.411,0.143,0.0724,0,0.0761,0.824,90.072,0
0.692,0.954,-3.93,0.0915,0.0188,0,0.151,0.89,141.98,0
0.679,0.921,-4.416,0.0362,0.0799,1.41E-06,0.0636,0.755,131.084,0
0.702,0.773,-4.79,0.0618,0.0469,0,0.171,0.72,133.892,0
0.732,0.781,-2.98,0.0812,0.357,0,0.2,0.842,91.907,0
0.849,0.592,-4.309,0.102,0.632,2.39E-06,0.108,0.652,89.966,0
0.794,0.977,-5.637,0.178,0.526,0.00196,0.0616,0.687,150.008,0
0.759,0.903,-6.132,0.0725,0.0605,6.29E-06,0.232,0.628,110.004,0
0.707,0.941,-2.606,0.041,0.0173,3.65E-05,0.134,0.337,99.013,0
0.831,0.737,-11.51,0.0497,0.185,0.000937,0.153,0.82,125.552,0
0.752,0.978,-4.786,0.23,0.516,0,0.32,0.804,82.988,0
0.83,0.775,-6.765,0.103,0.137,0,0.192,0.885,105.623,0
0.727,0.925,-5.808,0.0479,0.0998,0.301,0.0554,0.964,98.058,0
0.359,0.972,-3.452,0.109,0.136,2.52E-06,0.14,0.595,62.914,0
0.891,0.913,-4.453,0.149,0.394,0.000173,0.373,0.772,130.045,0
0.77,0.824,-6.491,0.0851,0.485,0,0.318,0.49,172.006,0
0.746,0.924,-6.057,0.0442,0.0169,0.00279,0.097,0.807,136.051,0
0.843,0.9,-4.602,0.0375,0.31,3.09E-05,0.0576,0.89,108.015,0
0.959,0.606,-5.754,0.219,0.345,0,0.126,0.783,110,0
0.685,0.841,-2.932,0.0942,0.118,0,0.26,0.59,97.929,0
0.747,0.81,-8.352,0.0541,0.0688,0.0405,0.0592,0.937,130.012,0
0.793,0.887,-5.285,0.0954,0.0962,6.39E-05,0.623,0.602,100.007,0
0.759,0.952,-2.837,0.123,0.105,0,0.0693,0.812,128.039,0
0.867,0.705,-3.893,0.0522,0.00452,0,0.0868,0.285,94.985,0
0.833,0.74,-4.513,0.129,0.166,2.74E-06,0.363,0.804,103.035,0
0.722,0.933,-3.173,0.069,0.203,5.21E-06,0.166,0.842,108.002,0
0.825,0.798,-3.792,0.321,0.361,0,0.194,0.596,137.981,0
0.705,0.74,-5.82,0.0505,0.0365,0,0.487,0.928,106.953,0
0.84,0.914,-3.916,0.0613,0.0958,0,0.115,0.651,104.019,0
0.484,0.898,-4.132,0.164,0.365,0,0.091,0.68,91.975,0
0.715,0.863,-2.539,0.063,0.62,6.32E-05,0.0972,0.828,99.981,0
0.708,0.946,-4.519,0.0434,0.128,0,0.559,0.477,130.99,0
0.751,0.81,-6.076,0.0456,0.0735,6.61E-06,0.552,0.882,112.004,0
0.803,0.859,-4.405,0.185,0.305,6.18E-05,0.553,0.631,101.007,0
0.833,0.917,-5.498,0.0597,0.175,1.92E-06,0.109,0.874,110.001,0
0.706,0.919,-5.21,0.174,0.223,0,0.319,0.701,101.94,0
0.832,0.477,-6.949,0.0481,0.00725,6.47E-05,0.205,0.844,101.997,0
0.699,0.665,-6.921,0.0483,0.0207,0,0.376,0.558,105.053,0
0.912,0.677,-4.212,0.0713,0.193,0,0.0939,0.94,115.061,0
0.814,0.909,-6.875,0.0753,0.319,0,0.345,0.961,100.004,0
0.851,0.998,-1.558,0.301,0.204,0.00102,0.0653,0.255,119.961,0
0.813,0.554,-9.105,0.04,0.0906,1.23E-06,0.0629,0.782,103.953,0
0.787,0.933,-5.712,0.0559,0.00771,0.214,0.116,0.806,113.974,0
0.792,0.959,-2.579,0.0913,0.338,0,0.275,0.874,115.015,0
0.823,0.91,-8.528,0.0321,0.0126,1.53E-05,0.0805,0.895,136.552,0
0.889,0.879,-4.475,0.294,0.172,0,0.792,0.752,96.016,0
0.693,0.956,-5.012,0.071,0.289,0,0.294,0.665,90.005,0
0.809,0.509,-4.856,0.0391,0.031,0,0.175,0.921,95.993,0
0.73,0.944,-3.48,0.164,0.266,0.00443,0.0354,0.657,113.309,0
0.814,0.791,-5.057,0.0934,0.25,0,0.124,0.902,130.941,0
0.644,0.705,-8.307,0.0712,0.627,3.79E-06,0.0591,0.928,175.973,0
0.511,0.561,-5.593,0.0751,0.236,0,0.102,0.667,169.989,0
0.625,0.792,-3.062,0.0952,0.0322,0,0.124,0.751,171.997,0
0.675,0.582,-8.891,0.0277,0.661,5.56E-06,0.0854,0.538,120.991,0
