name,popularity,date_added,release_year,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_emotion
,0,2019-09-19 04:55:08+00:00,0.0,[''],0.71,0.801,7.0,-4.845,1.0,0.0896,0.0728,0.0,0.0744,0.845,145.102,audio_features,3IzQc4KEAFd8lIc90X7FZr,spotify:track:3IzQc4KEAFd8lIc90X7FZr,https://api.spotify.com/v1/tracks/3IzQc4KEAFd8lIc90X7FZr,https://api.spotify.com/v1/audio-analysis/3IzQc4KEAFd8lIc90X7FZr,253161.0,4.0,happy
Ok Jaanu Title Track,50,2019-09-19 04:55:27+00:00,2017.0,"['A.R. Rahman', 'Srinidhi Venkatesh']",0.598,0.887,9.0,-6.992,1.0,0.0802,0.0284,5.84e-06,0.166,0.704,159.977,audio_features,7a77VY7mjvK6EiaBeOosmk,spotify:track:7a77VY7mjvK6EiaBeOosmk,https://api.spotify.com/v1/tracks/7a77VY7mjvK6EiaBeOosmk,https://api.spotify.com/v1/audio-analysis/7a77VY7mjvK6EiaBeOosmk,206250.0,4.0,happy
Slow Motion,37,2019-09-19 04:56:21+00:00,2019.0,"['Shreya Ghoshal', 'Nakash Aziz']",0.574,0.738,10.0,-5.526,1.0,0.0958,0.0235,2.03e-06,0.0959,0.307,109.996,audio_features,7vnXEUbyvC5VAYLgpstOAQ,spotify:track:7vnXEUbyvC5VAYLgpstOAQ,https://api.spotify.com/v1/tracks/7vnXEUbyvC5VAYLgpstOAQ,https://api.spotify.com/v1/audio-analysis/7vnXEUbyvC5VAYLgpstOAQ,247248.0,4.0,happy
Chashni,59,2019-09-19 05:00:47+00:00,2019.0,['Abhijeet Srivastava'],0.756,0.52,6.0,-8.642,1.0,0.0341,0.495,0.0,0.0901,0.684,119.92,audio_features,1ZQFkNNTzooW4lThiC8pg2,spotify:track:1ZQFkNNTzooW4lThiC8pg2,https://api.spotify.com/v1/tracks/1ZQFkNNTzooW4lThiC8pg2,https://api.spotify.com/v1/audio-analysis/1ZQFkNNTzooW4lThiC8pg2,265995.0,4.0,happy
"Shaitan Ka Saala (From ""Housefull 4"")",51,2020-01-15 06:51:21+00:00,2019.0,"['Sohail Sen', 'Vishal Dadlani']",0.844,0.772,7.0,-4.621,1.0,0.194,0.284,2.38e-06,0.368,0.336,100.008,audio_features,7IAJzec1UxGYmNvbPTHbxx,spotify:track:7IAJzec1UxGYmNvbPTHbxx,https://api.spotify.com/v1/tracks/7IAJzec1UxGYmNvbPTHbxx,https://api.spotify.com/v1/audio-analysis/7IAJzec1UxGYmNvbPTHbxx,147395.0,4.0,happy
Ek Jindari,47,2020-04-06 16:24:43+00:00,2017.0,['Taniskaa Sanghvi'],0.713,0.662,9.0,-6.837,0.0,0.0778,0.185,0.0,0.285,0.539,101.992,audio_features,15KvWFuKadQjcyfXdNCd7u,spotify:track:15KvWFuKadQjcyfXdNCd7u,https://api.spotify.com/v1/tracks/15KvWFuKadQjcyfXdNCd7u,https://api.spotify.com/v1/audio-analysis/15KvWFuKadQjcyfXdNCd7u,271233.0,4.0,happy
Chedkhaniyaan,48,2021-01-07 08:07:56+00:00,2020.0,"['Shankar-Ehsaan-Loy', 'Shivam Mahadevan', 'Pratibha Singh Baghel']",0.771,0.659,7.0,-6.1,1.0,0.0674,0.216,0.0,0.102,0.587,92.008,audio_features,30PPEJ1pEhtVnrgVNK5MEw,spotify:track:30PPEJ1pEhtVnrgVNK5MEw,https://api.spotify.com/v1/tracks/30PPEJ1pEhtVnrgVNK5MEw,https://api.spotify.com/v1/audio-analysis/30PPEJ1pEhtVnrgVNK5MEw,198261.0,4.0,happy
Gallan Goodiyaan,66,2021-04-20 10:30:19+00:00,2015.0,"['Yashita Sharma', 'Manish Kumar Tipu', 'Farhan Akhtar', 'Shankar Mahadevan', 'Sukhwinder Singh']",0.83,0.858,6.0,-3.18,0.0,0.0554,0.134,1.72e-05,0.0567,0.949,119.974,audio_features,7hNYvX0qAKrxtVr1jGDmvR,spotify:track:7hNYvX0qAKrxtVr1jGDmvR,https://api.spotify.com/v1/tracks/7hNYvX0qAKrxtVr1jGDmvR,https://api.spotify.com/v1/audio-analysis/7hNYvX0qAKrxtVr1jGDmvR,296500.0,4.0,happy
Long Drive,54,2021-04-20 10:39:36+00:00,2012.0,['Mika Singh'],0.753,0.89,2.0,-5.022,1.0,0.187,0.44,6.82e-06,0.0854,0.283,87.015,audio_features,0sSapNABKrGwgaMhn0p8uL,spotify:track:0sSapNABKrGwgaMhn0p8uL,https://api.spotify.com/v1/tracks/0sSapNABKrGwgaMhn0p8uL,https://api.spotify.com/v1/audio-analysis/0sSapNABKrGwgaMhn0p8uL,268443.0,4.0,happy
Sajna Ji Vaari Vaari,58,2021-04-20 10:40:16+00:00,2007.0,"['Sunidhi Chauhan', 'Shekhar Ravjiani']",0.735,0.904,0.0,-8.399,1.0,0.0435,0.079,0.00172,0.198,0.961,143.987,audio_features,66wEHvHkE7iz73PEob4Y98,spotify:track:66wEHvHkE7iz73PEob4Y98,https://api.spotify.com/v1/tracks/66wEHvHkE7iz73PEob4Y98,https://api.spotify.com/v1/audio-analysis/66wEHvHkE7iz73PEob4Y98,221893.0,4.0,happy
Dil Laga Na,50,2021-04-20 10:42:37+00:00,2006.0,"['Pritam', 'Sukhbir', 'Soham Chakrabarthy', 'Jolly Mukherjee', 'Mahalaxmi Iyer', 'Suzanne', 'Sameer']",0.782,0.953,7.0,-5.442,1.0,0.162,0.161,1.97e-06,0.0491,0.477,101.997,audio_features,3LdZ1fFzohRUbcNI9sa8jV,spotify:track:3LdZ1fFzohRUbcNI9sa8jV,https://api.spotify.com/v1/tracks/3LdZ1fFzohRUbcNI9sa8jV,https://api.spotify.com/v1/audio-analysis/3LdZ1fFzohRUbcNI9sa8jV,304771.0,4.0,happy
"Banno (From ""Tannu Weds Manu Returns"")",0,2021-04-20 10:44:17+00:00,2015.0,"['Brijesh Shandilya', 'Swati Sharma', 'Krsna Solo']",0.757,0.877,9.0,-5.045,1.0,0.0918,0.138,1.82e-05,0.0849,0.704,107.981,audio_features,2HDqtX8SwWzoxEYU4KTnVx,spotify:track:2HDqtX8SwWzoxEYU4KTnVx,https://api.spotify.com/v1/tracks/2HDqtX8SwWzoxEYU4KTnVx,https://api.spotify.com/v1/audio-analysis/2HDqtX8SwWzoxEYU4KTnVx,196173.0,4.0,happy
Dheere Dheere,66,2021-04-20 10:45:17+00:00,2015.0,['Yo Yo Honey Singh'],0.73,0.58,0.0,-7.976,1.0,0.124,0.0399,2.48e-05,0.0703,0.55,167.915,audio_features,4fyR24BKznXBLNkK8LwWla,spotify:track:4fyR24BKznXBLNkK8LwWla,https://api.spotify.com/v1/tracks/4fyR24BKznXBLNkK8LwWla,https://api.spotify.com/v1/audio-analysis/4fyR24BKznXBLNkK8LwWla,212413.0,4.0,happy
Ganpat,45,2021-04-20 10:45:44+00:00,2007.0,"['Mika Singh', 'Anchal']",0.773,0.79,2.0,-7.408,1.0,0.0846,0.176,0.0,0.0853,0.656,100.005,audio_features,5RH4M64x1jvPMWHN5S2LAz,spotify:track:5RH4M64x1jvPMWHN5S2LAz,https://api.spotify.com/v1/tracks/5RH4M64x1jvPMWHN5S2LAz,https://api.spotify.com/v1/audio-analysis/5RH4M64x1jvPMWHN5S2LAz,270466.0,4.0,happy
,0,2021-04-20 10:46:52+00:00,0.0,[''],0.71,0.801,7.0,-4.845,1.0,0.0896,0.0728,0.0,0.0744,0.845,145.102,audio_features,3IzQc4KEAFd8lIc90X7FZr,spotify:track:3IzQc4KEAFd8lIc90X7FZr,https://api.spotify.com/v1/tracks/3IzQc4KEAFd8lIc90X7FZr,https://api.spotify.com/v1/audio-analysis/3IzQc4KEAFd8lIc90X7FZr,253161.0,4.0,happy
,0,2021-04-20 10:47:57+00:00,0.0,[''],0.884,0.95,1.0,-0.95,1.0,0.205,0.106,0.0,0.0449,0.703,104.952,audio_features,7E2iTG33dfcHlxldckKQIi,spotify:track:7E2iTG33dfcHlxldckKQIi,https://api.spotify.com/v1/tracks/7E2iTG33dfcHlxldckKQIi,https://api.spotify.com/v1/audio-analysis/7E2iTG33dfcHlxldckKQIi,200711.0,4.0,happy
Lat Lag Gayee,68,2021-04-20 10:48:43+00:00,2012.0,"['Benny Dayal', 'Shalmali Kholgade', 'Pritam']",0.79,0.892,10.0,-4.038,0.0,0.0404,0.228,1.18e-06,0.206,0.896,131.991,audio_features,5XsoDbDt98b0FkFLOhsJuS,spotify:track:5XsoDbDt98b0FkFLOhsJuS,https://api.spotify.com/v1/tracks/5XsoDbDt98b0FkFLOhsJuS,https://api.spotify.com/v1/audio-analysis/5XsoDbDt98b0FkFLOhsJuS,280369.0,4.0,happy
Party On My Mind,65,2021-04-20 10:48:55+00:00,2012.0,"['Pritam', 'KK', 'Shefali Alvares', 'Yo Yo Honey Singh', 'Prashant Ingole']",0.715,0.864,11.0,-5.013,0.0,0.0751,0.0188,0.0,0.719,0.57,122.016,audio_features,5Rn1DPzSzUktbhuNDDJocS,spotify:track:5Rn1DPzSzUktbhuNDDJocS,https://api.spotify.com/v1/tracks/5Rn1DPzSzUktbhuNDDJocS,https://api.spotify.com/v1/audio-analysis/5Rn1DPzSzUktbhuNDDJocS,222133.0,4.0,happy
Main Rang Sharbaton Ka,63,2021-04-20 10:50:02+00:00,2013.0,"['Atif Aslam', 'Chinmayi', 'Pritam']",0.631,0.631,6.0,-6.934,1.0,0.0307,0.693,0.0,0.133,0.697,89.975,audio_features,1yYM7dY6wSJFp5qmxPRLu1,spotify:track:1yYM7dY6wSJFp5qmxPRLu1,https://api.spotify.com/v1/tracks/1yYM7dY6wSJFp5qmxPRLu1,https://api.spotify.com/v1/audio-analysis/1yYM7dY6wSJFp5qmxPRLu1,263152.0,4.0,happy
Daddy Mummy,50,2021-04-20 10:50:55+00:00,2015.0,"['Devi Sri Prasad', 'M.M.Manasi']",0.912,0.782,5.0,-5.95,0.0,0.0785,0.109,0.000193,0.0632,0.769,132.009,audio_features,1R4RQCBKV9kHjZG7Jp00kn,spotify:track:1R4RQCBKV9kHjZG7Jp00kn,https://api.spotify.com/v1/tracks/1R4RQCBKV9kHjZG7Jp00kn,https://api.spotify.com/v1/audio-analysis/1R4RQCBKV9kHjZG7Jp00kn,265970.0,4.0,happy
Agar Tum Saath Ho,72,2019-11-11 21:11:34+00:00,2015.0,"['Alka Yagnik', 'Arijit Singh']",0.562,0.519,3.0,-8.744,1.0,0.0326,0.557,0.000268,0.172,0.415,122.925,audio_features,3hkC9EHFZNQPXrtl8WPHnX,spotify:track:3hkC9EHFZNQPXrtl8WPHnX,https://api.spotify.com/v1/tracks/3hkC9EHFZNQPXrtl8WPHnX,https://api.spotify.com/v1/audio-analysis/3hkC9EHFZNQPXrtl8WPHnX,341055.0,4.0,sad
Zaroorat,60,2019-11-11 21:12:16+00:00,2014.0,['Mustafa Zahid'],0.354,0.712,3.0,-6.109,0.0,0.0589,0.358,4.19e-05,0.274,0.238,93.345,audio_features,32U1XMh3DKlm45uvpofhvY,spotify:track:32U1XMh3DKlm45uvpofhvY,https://api.spotify.com/v1/tracks/32U1XMh3DKlm45uvpofhvY,https://api.spotify.com/v1/audio-analysis/32U1XMh3DKlm45uvpofhvY,368852.0,4.0,sad
"Judaai (From ""Badlapur)",0,2019-11-11 21:13:49+00:00,2015.0,"['Rekha Bhardwaj', 'Arijit Singh']",0.343,0.373,7.0,-9.363,0.0,0.0607,0.745,1.2e-05,0.14,0.252,92.957,audio_features,1eZ9Kq8voa1bnJi3dZD8M1,spotify:track:1eZ9Kq8voa1bnJi3dZD8M1,https://api.spotify.com/v1/tracks/1eZ9Kq8voa1bnJi3dZD8M1,https://api.spotify.com/v1/audio-analysis/1eZ9Kq8voa1bnJi3dZD8M1,271379.0,5.0,sad
"Channa Mereya (From ""Ae Dil Hai Mushkil"")",59,2019-11-11 21:18:20+00:00,2016.0,"['Pritam', 'Arijit Singh']",0.476,0.788,9.0,-4.821,0.0,0.0448,0.24,2.64e-05,0.106,0.747,90.066,audio_features,1plFCZ6QFAjSRutT02GTCn,spotify:track:1plFCZ6QFAjSRutT02GTCn,https://api.spotify.com/v1/tracks/1plFCZ6QFAjSRutT02GTCn,https://api.spotify.com/v1/audio-analysis/1plFCZ6QFAjSRutT02GTCn,289333.0,4.0,sad
"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]",58,2019-11-11 21:18:02+00:00,2015.0,"['Jeet Gannguli', 'Arijit Singh']",0.223,0.359,0.0,-7.569,1.0,0.0312,0.845,0.0,0.133,0.193,73.059,audio_features,3eQL03MvTJQkLqXryJ8Fja,spotify:track:3eQL03MvTJQkLqXryJ8Fja,https://api.spotify.com/v1/tracks/3eQL03MvTJQkLqXryJ8Fja,https://api.spotify.com/v1/audio-analysis/3eQL03MvTJQkLqXryJ8Fja,398799.0,4.0,sad
Husn,84,2024-01-26 01:48:10+00:00,2023.0,['Anuv Jain'],0.527,0.376,5.0,-9.974,1.0,0.0298,0.682,0.0,0.142,0.24,151.928,audio_features,0TL0LFcwIBF5eX7arDIKxY,spotify:track:0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/tracks/0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/audio-analysis/0TL0LFcwIBF5eX7arDIKxY,217895.0,4.0,sad
Kyun,30,2022-09-29 11:50:42+00:00,2022.0,['Rahul Sathu'],0.674,0.595,11.0,-7.179,1.0,0.0398,0.558,0.0108,0.0967,0.297,139.932,audio_features,6dojrojvZ0DXlTBp592XvY,spotify:track:6dojrojvZ0DXlTBp592XvY,https://api.spotify.com/v1/tracks/6dojrojvZ0DXlTBp592XvY,https://api.spotify.com/v1/audio-analysis/6dojrojvZ0DXlTBp592XvY,157714.0,4.0,sad
